method_name,category,best_for,description,when_to_use,fallback_method,source_name,source_url
SCAMPER,Creative Problem Solving,creative/innovation,"A brainstorming technique using a mnemonic acronym (Substitute, Combine, Adapt, Modify, Put to another use, Eliminate, Reverse) to generate new ideas by asking questions about an existing product or process. First proposed by Alex Osborn in 1953 and later arranged into the mnemonic by Bob Eberle in 1971.","When you need to improve an existing product, service, or process by systematically exploring modifications from multiple angles",Attribute Listing,"Bob Eberle, ""SCAMPER: Creative Games and Activities for Imagination Development"" (Prufrock Press, 1996); based on Alex Osborn, ""Applied Imagination"" (1953)","https://archive.org/details/scampergamesfori0000eber"
Six Thinking Hats,Decision Making,strategic/mixed,"A technique developed by Edward de Bono that separates thinking into six distinct modes (White=facts, Red=emotions, Black=caution, Yellow=optimism, Green=creativity, Blue=process control). Each participant wears a metaphorical hat to look at a problem from one perspective at a time.","When a team needs to examine a decision from multiple perspectives without argument, and when group discussions become emotionally charged or one-dimensional",5W1H,"Edward de Bono, ""Six Thinking Hats"" (Little, Brown and Company, 1985)","https://www.debonogroup.com/services/six-thinking-hats/"
5W1H,Questioning Framework,unknown/ambiguous,"A questioning technique that segments a problem using six interrogatives: Who, What, When, Where, Why, and How. Popularized in the early 20th century by Rudyard Kipling's poem ""I Keep Six Honest Serving Men"" (1902).","When you need to systematically gather complete information about a situation, define a problem comprehensively, or ensure all dimensions of a topic are covered",Starbursting,"Rudyard Kipling, ""I Keep Six Honest Serving Men"" (Just So Stories, 1902); SAS paper by Daniel Hatton, ""5W1H Method"" (SAS Global Forum 2019)","https://support.sas.com/resources/papers/proceedings19/3938-2019.pdf"
Mind Mapping,Visual Brainstorming,exploratory/creative,"A visual thinking technique developed by Tony Buzan that uses a radial diagram starting from a central concept. Ideas branch outward as associated subtopics, using colors, images, and keywords to leverage the brain's natural associative patterns.","When you need to visually organize information, explore connections between ideas, or brainstorm non-linearly around a central theme",Lotus Blossom,"Tony Buzan, ""The Mind Map Book"" (BBC Active, 1995)","https://www.bbc.co.uk/pressoffice/bbcworldwide/worldwidestories/pressreleases/2003/03_march/buzan_may.shtml"
Brainwriting 6-3-5,Group Ideation,group/team,"A structured group brainstorming technique where 6 participants write 3 ideas each in 5 minutes, then pass their sheet to the next person who builds on those ideas. Developed by Bernd Rohrbach in 1968. After 6 rounds, up to 108 ideas are generated in 30 minutes.","When you need rapid idea generation from a group, want to avoid dominance by vocal participants, or need to build on ideas iteratively in a structured way",Round Robin Brainstorming,"Bernd Rohrbach, ""Kreativ nach Regeln: Methode 635, eine neue Technik zum Lösen von Problemen"" (Absatzwirtschaft, 1969)","https://en.wikipedia.org/wiki/6-3-5_Brainwriting"
Starbursting,Question-Based Ideation,unknown/ambiguous,"A brainstorming technique that focuses on generating questions rather than answers. A central idea is placed in a star diagram with six points (Who, What, Where, When, Why, How). Participants generate as many questions as possible about the idea before attempting solutions.","When exploring a new product, service, or project where understanding all dimensions and potential issues upfront is critical before committing resources",5W1H,"MindTools, ""Starbursting: Brainstorming Questions, Not Answers""","https://www.mindtools.com/ak3qj17/brainwriting/"
Reverse Brainstorming,Creative Problem Solving,risk/failure,"A technique that reverses the typical brainstorming approach by asking participants to generate ways to cause or worsen a problem rather than solve it. After collecting reverse ideas, the team flips them to find solutions. Also called negative brainstorming.","When standard brainstorming produces stale ideas, when a team is stuck on a persistent problem, or to identify root causes by examining how problems are created",Worst Possible Idea,"MindTools, ""Reverse Brainstorming""","https://www.mindtools.com/a32qxsh/reverse-brainstorming/"
Lotus Blossom,Structured Ideation,new_product/exploratory,"A creative thinking technique developed by Yasuo Matsumura at Clover Management Research in Japan. A central theme is placed in the middle of a 3x3 grid. Eight related concepts fill the surrounding cells. Each becomes the center of a new blossom, generating 64 ideas systematically.","When you need to systematically expand a central concept into multiple layers of related ideas, or when exploring a complex topic that requires deep, structured exploration",Morphological Analysis,"Yasuo Matsumura (Clover Management Research, Japan); documented by Michael Michalko in ""Thinkertoys""","https://geniusrevive.com/en/lotus-blossom-technique/"
TRIZ,Inventive Problem Solving,technical/engineering,"A systematic innovation methodology developed by Genrich Altshuller in the USSR (1946). Based on analysis of 40,000 patents, it identifies 40 inventive principles and a contradiction matrix to resolve technical contradictions without compromise.","When facing difficult engineering or technical problems with apparent contradictions (e.g., needing something stronger but lighter), or when systematic innovation is required",SCAMPER,"Genrich Altshuller, ""40 Principles: TRIZ Keys to Innovation"" (Technical Innovation Center); The TRIZ Journal","https://the-trizjournal.com/strengthening-the-40-principles/"
SWOT Analysis,Strategic Analysis,strategic/business,"A strategic planning tool that evaluates Strengths, Weaknesses, Opportunities, and Threats. Originated as SOFT analysis (Satisfactory, Opportunity, Fault, Threat) by Albert Humphrey at Stanford Research Institute (SRI) from 1960-1970. The F was changed to W (Weakness) around 1964.","When assessing strategic position, making strategic decisions, or evaluating internal capabilities and external market conditions",PESTLE,"Albert Humphrey, Stanford Research Institute (SRI), 1960-1970; documented by Humphrey (2005)","https://rapidbi.com/history-of-the-swot-analysis/"
PESTLE Analysis,Environmental Analysis,strategic/business,"A framework for analyzing external macro-environmental factors: Political, Economic, Social, Technological, Legal, and Environmental. Originated as ETPS/PEST by Francis J. Aguilar in 1967 in ""Scanning the Business Environment."" Legal and Environmental factors were added later to form PESTLE.","When analyzing external market forces, assessing country/regional risk, or understanding the broader context for strategic planning",SWOT,"Francis J. Aguilar, ""Scanning the Business Environment"" (Macmillan, 1967)","https://www.thestrategyinstitute.org/insights/understanding-external-business-environments-with-pest-and-pestle-analysis/"
Design Thinking,Human-Centered Design,new_product/human_centered,"An iterative, human-centered approach to innovation developed at Stanford d.school and IDEO. Consists of five stages: Empathize, Define, Ideate, Prototype, Test. Integrates desirability (human needs), feasibility (technology), and viability (business).","When solving complex, ambiguous problems that require deep user understanding, when developing new products or services, or when innovation requires balancing user needs with technical and business constraints",Crazy Eights,"Stanford d.school (Hasso Plattner Institute of Design) and IDEO","https://dschool.stanford.edu/"
Five Whys,Root Cause Analysis,root_cause/technical,"A root-cause analysis technique from the Toyota Production System (Ohno, 1988). Iteratively ask 'Why?' five times to drill from surface symptom to root cause. Simple but powerful for technical and operational problem diagnosis.","When a problem appears vague or has unclear root causes before research begins, or when the symptom- cause chain needs decomposition",Fishbone Diagram,"Taiichi Ohno, Toyota Production System: Beyond Large-Scale Production (Productivity Press, 1988)","https://en.wikipedia.org/wiki/Five_whys"
Crazy Eights,Rapid Ideation,creative/rapid_ideation,"A fast-paced sketching exercise developed by Jake Knapp as part of the Google Design Sprint. Participants fold paper into 8 sections and sketch 8 distinct ideas in 8 minutes. Forces rapid ideation beyond the first obvious solution.","When you need to quickly generate a wide variety of visual solutions, break creative blocks, or push participants past their initial, conventional ideas",Round Robin Brainstorming,"Jake Knapp, ""Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days"" (Simon & Schuster, 2016)","https://www.thesprintbook.com/"
Worst Possible Idea,Creative Problem Solving,risk/failure/creative_block,"A brainstorming technique where participants intentionally generate the worst, most absurd, or most impractical ideas possible. The deliberately bad ideas are then examined and reversed to find valuable solutions. Lowers creative barriers and reduces fear of judgment.","When participants are inhibited or stressed about generating good ideas, when a group needs to loosen up, or when conventional brainstorming has become stagnant",Reverse Brainstorming,"Innovation Management; Brainstorming.co.uk, ""Worst Possible Idea Technique""","https://brainstorming.co.uk/worst-possible-idea-technique/"
Round Robin Brainstorming,Group Ideation,group/team,"A structured brainstorming technique where each participant takes turns contributing one idea at a time in sequence. Ensures equal participation, prevents dominance by vocal members, and builds on prior contributions iteratively.","When group brainstorming sessions are dominated by a few voices, when you need to ensure all team members contribute equally, or to build ideas collaboratively",Brainwriting 6-3-5,"Better Evaluation, ""Round Robin""; ResearchGate study on Round Robin Brainstorming","https://www.betterevaluation.org/methods-approaches/methods/round-robin"
Stepladder Technique,Group Decision Making,group/decision,"A group decision-making technique developed by Steven Rogelberg, Janet Barnes-Farrell, and Charles Lowe in 1992. Members enter the discussion sequentially: two members discuss first, then a third joins and shares ideas before group discussion, and so on. Prevents groupthink and ensures all members contribute.","When making important group decisions where groupthink is a risk, when you need to ensure all members contribute independently before group influence, or in high-stakes decision-making",Charette Procedure,"Steven Rogelberg, Janet Barnes-Farrell, Charles Lowe (1992), ""The Stepladder Technique""","https://www.mindtools.com/a848zs3/the-stepladder-technique"
Charette Procedure,Group Ideation,group/large_team,"A brainstorming technique for large groups (15+ people). Participants are divided into small subgroups, each addressing a different aspect of a problem. Each subgroup's output is passed to the next group for building and refinement. Named after the French ""charrette"" (cart) used in 19th-century architectural design.","When brainstorming with large groups where individual participation is difficult, when multiple related topics need exploration, or to synthesize ideas across many stakeholders",Brainwriting 6-3-5,"MindTools, ""The Charette Procedure""","https://www.mindtools.com/awydne8/the-charette-procedure"
Attribute Listing,Structured Ideation,process_improvement/incremental,"A creative thinking technique pioneered by Robert Crawford in 1954. Involves breaking down a product, process, or problem into its key attributes/features, then systematically modifying each attribute to generate new ideas.","When you need to systematically improve an existing product or process, or when incremental innovation through feature modification is the goal",SCAMPER,"Robert P. Crawford, ""Techniques of Creative Thinking"" (Hawthorn Books, 1954)","https://debpaulson.weebly.com/attribute-listing.html"
Morphological Analysis,Structured Problem Solving,new_product/complex_systems,"A method developed by Fritz Zwicky at Caltech for structuring and investigating complex, non-quantifiable problem spaces. Involves identifying all key parameters of a problem, listing possible values for each, and systematically exploring all combinations to find novel solutions.","When dealing with complex, multi-dimensional problems that resist quantification, when exploring all possible configurations of a system, or for foresight and scenario planning",Lotus Blossom,"Fritz Zwicky, ""Discovery, Invention, Research through the Morphological Approach"" (Macmillan, 1969)","https://www.swemorph.com/ma.html"
